filepath,tokenIndex,lineNumber
./data_416/SARD/data_source/CWE416_Use_After_Free__malloc_free_wchar_t_17_omitgood.c_dir/point/CWE416_Use_After_Free__malloc_free_wchar_t_17_omitgood.final.ll,414,37
./data_416/SARD/data_source/CWE416_Use_After_Free__malloc_free_wchar_t_17_omitgood.c_dir/point/CWE416_Use_After_Free__malloc_free_wchar_t_17_omitgood.final.ll,465,42
./data_416/SARD/data_source/CWE416_Use_After_Free__malloc_free_wchar_t_17_omitgood.c_dir/bds/CWE416_Use_After_Free__malloc_free_wchar_t_17_omitgood.final.ll,414,37
./data_416/SARD/data_source/CWE416_Use_After_Free__malloc_free_wchar_t_17_omitgood.c_dir/bds/CWE416_Use_After_Free__malloc_free_wchar_t_17_omitgood.final.ll,465,42
./data_416/SARD/data_source/CWE416_Use_After_Free__malloc_free_wchar_t_17_omitgood.c_dir/api/CWE416_Use_After_Free__malloc_free_wchar_t_17_omitgood.final.ll,414,37
./data_416/SARD/data_source/CWE416_Use_After_Free__malloc_free_wchar_t_17_omitgood.c_dir/api/CWE416_Use_After_Free__malloc_free_wchar_t_17_omitgood.final.ll,465,42
./data_416/SARD/data_source/CWE416_Use_After_Free__malloc_free_wchar_t_17_omitgood.c_dir/arr/CWE416_Use_After_Free__malloc_free_wchar_t_17_omitgood.final.ll,414,37
./data_416/SARD/data_source/CWE416_Use_After_Free__malloc_free_wchar_t_17_omitgood.c_dir/arr/CWE416_Use_After_Free__malloc_free_wchar_t_17_omitgood.final.ll,465,42
./data_416/SARD/data_source/CWE416_Use_After_Free__malloc_free_struct_11_omitgood.c_dir/point/CWE416_Use_After_Free__malloc_free_struct_11_omitgood.final.ll,438,42
./data_416/SARD/data_source/CWE416_Use_After_Free__malloc_free_struct_11_omitgood.c_dir/point/CWE416_Use_After_Free__malloc_free_struct_11_omitgood.final.ll,484,47
./data_416/SARD/data_source/CWE416_Use_After_Free__malloc_free_struct_11_omitgood.c_dir/bds/CWE416_Use_After_Free__malloc_free_struct_11_omitgood.final.ll,438,42
