filepath,tokenIndex,lineNumber
./data_415/SARD/data_source/CWE415_Double_Free__malloc_free_int64_t_73a_omitgood.cpp_dir/point/CWE415_Double_Free__malloc_free_int64_t_73a_omitgood.final.ll,420,42
./data_415/SARD/data_source/CWE415_Double_Free__malloc_free_int64_t_73a_omitgood.cpp_dir/bds/CWE415_Double_Free__malloc_free_int64_t_73a_omitgood.final.ll,420,42
./data_415/SARD/data_source/CWE415_Double_Free__malloc_free_int64_t_73a_omitgood.cpp_dir/api/CWE415_Double_Free__malloc_free_int64_t_73a_omitgood.final.ll,420,42
./data_415/SARD/data_source/CWE415_Double_Free__malloc_free_int64_t_73a_omitgood.cpp_dir/arr/CWE415_Double_Free__malloc_free_int64_t_73a_omitgood.final.ll,420,42
./data_415/SARD/data_source/CWE415_Double_Free__new_delete_array_struct_83_bad_omitgood.cpp_dir/point/CWE415_Double_Free__new_delete_array_struct_83_bad_omitgood.final.ll,474,29
./data_415/SARD/data_source/CWE415_Double_Free__new_delete_array_struct_83_bad_omitgood.cpp_dir/point/CWE415_Double_Free__new_delete_array_struct_83_bad_omitgood.final.ll,526,35
./data_415/SARD/data_source/CWE415_Double_Free__new_delete_array_struct_83_bad_omitgood.cpp_dir/bds/CWE415_Double_Free__new_delete_array_struct_83_bad_omitgood.final.ll,474,29
./data_415/SARD/data_source/CWE415_Double_Free__new_delete_array_struct_83_bad_omitgood.cpp_dir/bds/CWE415_Double_Free__new_delete_array_struct_83_bad_omitgood.final.ll,526,35
./data_415/SARD/data_source/CWE415_Double_Free__new_delete_array_struct_83_bad_omitgood.cpp_dir/api/CWE415_Double_Free__new_delete_array_struct_83_bad_omitgood.final.ll,474,29
./data_415/SARD/data_source/CWE415_Double_Free__new_delete_array_struct_83_bad_omitgood.cpp_dir/api/CWE415_Double_Free__new_delete_array_struct_83_bad_omitgood.final.ll,526,35
./data_415/SARD/data_source/CWE415_Double_Free__new_delete_array_struct_83_bad_omitgood.cpp_dir/arr/CWE415_Double_Free__new_delete_array_struct_83_bad_omitgood.final.ll,474,29
./data_415/SARD/data_source/CWE415_Double_Free__new_delete_array_struct_83_bad_omitgood.cpp_dir/arr/CWE415_Double_Free__new_delete_array_struct_83_bad_omitgood.final.ll,526,35
./data_415/SARD/data_source/CWE415_Double_Free__new_delete_array_struct_64a_omitgood.cpp_dir/point/CWE415_Double_Free__new_delete_array_struct_64a_omitgood.final.ll,369,37
./data_415/SARD/data_source/CWE415_Double_Free__new_delete_array_struct_64a_omitgood.cpp_dir/bds/CWE415_Double_Free__new_delete_array_struct_64a_omitgood.final.ll,369,37
./data_415/SARD/data_source/CWE415_Double_Free__new_delete_array_struct_64a_omitgood.cpp_dir/api/CWE415_Double_Free__new_delete_array_struct_64a_omitgood.final.ll,369,37
./data_415/SARD/data_source/CWE415_Double_Free__new_delete_array_struct_64a_omitgood.cpp_dir/arr/CWE415_Double_Free__new_delete_array_struct_64a_omitgood.final.ll,369,37
./data_415/SARD/data_source/CWE415_Double_Free__new_delete_struct_31_omitgood.cpp_dir/point/CWE415_Double_Free__new_delete_struct_31_omitgood.final.ll,382,34
./data_415/SARD/data_source/CWE415_Double_Free__new_delete_struct_31_omitgood.cpp_dir/point/CWE415_Double_Free__new_delete_struct_31_omitgood.final.ll,450,39
./data_415/SARD/data_source/CWE415_Double_Free__new_delete_struct_31_omitgood.cpp_dir/bds/CWE415_Double_Free__new_delete_struct_31_omitgood.final.ll,382,34
./data_415/SARD/data_source/CWE415_Double_Free__new_delete_struct_31_omitgood.cpp_dir/bds/CWE415_Double_Free__new_delete_struct_31_omitgood.final.ll,450,39
./data_415/SARD/data_source/CWE415_Double_Free__new_delete_struct_31_omitgood.cpp_dir/api/CWE415_Double_Free__new_delete_struct_31_omitgood.final.ll,382,34
./data_415/SARD/data_source/CWE415_Double_Free__new_delete_struct_31_omitgood.cpp_dir/api/CWE415_Double_Free__new_delete_struct_31_omitgood.final.ll,450,39
./data_415/SARD/data_source/CWE415_Double_Free__new_delete_struct_31_omitgood.cpp_dir/arr/CWE415_Double_Free__new_delete_struct_31_omitgood.final.ll,382,34
./data_415/SARD/data_source/CWE415_Double_Free__new_delete_struct_31_omitgood.cpp_dir/arr/CWE415_Double_Free__new_delete_struct_31_omitgood.final.ll,450,39
./data_415/SARD/data_source/CWE415_Double_Free__new_delete_array_long_44_omitgood.cpp_dir/point/CWE415_Double_Free__new_delete_array_long_44_omitgood.final.ll,370,30
./data_415/SARD/data_source/CWE415_Double_Free__new_delete_array_long_44_omitgood.cpp_dir/point/CWE415_Double_Free__new_delete_array_long_44_omitgood.final.ll,466,42
./data_415/SARD/data_source/CWE415_Double_Free__new_delete_array_long_44_omitgood.cpp_dir/bds/CWE415_Double_Free__new_delete_array_long_44_omitgood.final.ll,370,30
./data_415/SARD/data_source/CWE415_Double_Free__new_delete_array_long_44_omitgood.cpp_dir/bds/CWE415_Double_Free__new_delete_array_long_44_omitgood.final.ll,466,42
./data_415/SARD/data_source/CWE415_Double_Free__new_delete_array_long_44_omitgood.cpp_dir/api/CWE415_Double_Free__new_delete_array_long_44_omitgood.final.ll,370,30
./data_415/SARD/data_source/CWE415_Double_Free__new_delete_array_long_44_omitgood.cpp_dir/api/CWE415_Double_Free__new_delete_array_long_44_omitgood.final.ll,466,42
./data_415/SARD/data_source/CWE415_Double_Free__new_delete_array_long_44_omitgood.cpp_dir/arr/CWE415_Double_Free__new_delete_array_long_44_omitgood.final.ll,370,30
./data_415/SARD/data_source/CWE415_Double_Free__new_delete_array_long_44_omitgood.cpp_dir/arr/CWE415_Double_Free__new_delete_array_long_44_omitgood.final.ll,466,42
./data_415/SARD/data_source/CWE415_Double_Free__malloc_free_wchar_t_65a_omitgood.c_dir/point/CWE415_Double_Free__malloc_free_wchar_t_65a_omitgood.final.ll,438,37
./data_415/SARD/data_source/CWE415_Double_Free__malloc_free_wchar_t_65a_omitgood.c_dir/bds/CWE415_Double_Free__malloc_free_wchar_t_65a_omitgood.final.ll,438,37
./data_415/SARD/data_source/CWE415_Double_Free__malloc_free_wchar_t_65a_omitgood.c_dir/api/CWE415_Double_Free__malloc_free_wchar_t_65a_omitgood.final.ll,438,37
./data_415/SARD/data_source/CWE415_Double_Free__malloc_free_wchar_t_65a_omitgood.c_dir/arr/CWE415_Double_Free__malloc_free_wchar_t_65a_omitgood.final.ll,438,37
./data_415/SARD/data_source/CWE415_Double_Free__malloc_free_int_81a_omitgood.cpp_dir/point/CWE415_Double_Free__malloc_free_int_81a_omitgood.final.ll,433,34
./data_415/SARD/data_source/CWE415_Double_Free__malloc_free_int_81a_omitgood.cpp_dir/bds/CWE415_Double_Free__malloc_free_int_81a_omitgood.final.ll,433,34
./data_415/SARD/data_source/CWE415_Double_Free__malloc_free_int_81a_omitgood.cpp_dir/api/CWE415_Double_Free__malloc_free_int_81a_omitgood.final.ll,433,34
./data_415/SARD/data_source/CWE415_Double_Free__malloc_free_int_81a_omitgood.cpp_dir/arr/CWE415_Double_Free__malloc_free_int_81a_omitgood.final.ll,433,34
./data_415/SARD/data_source/CWE415_Double_Free__new_delete_array_int64_t_01_omitgood.cpp_dir/point/CWE415_Double_Free__new_delete_array_int64_t_01_omitgood.final.ll,379,34
./data_415/SARD/data_source/CWE415_Double_Free__new_delete_array_int64_t_01_omitgood.cpp_dir/point/CWE415_Double_Free__new_delete_array_int64_t_01_omitgood.final.ll,385,36
./data_415/SARD/data_source/CWE415_Double_Free__new_delete_array_int64_t_01_omitgood.cpp_dir/bds/CWE415_Double_Free__new_delete_array_int64_t_01_omitgood.final.ll,379,34
./data_415/SARD/data_source/CWE415_Double_Free__new_delete_array_int64_t_01_omitgood.cpp_dir/bds/CWE415_Double_Free__new_delete_array_int64_t_01_omitgood.final.ll,385,36
./data_415/SARD/data_source/CWE415_Double_Free__new_delete_array_int64_t_01_omitgood.cpp_dir/api/CWE415_Double_Free__new_delete_array_int64_t_01_omitgood.final.ll,379,34
./data_415/SARD/data_source/CWE415_Double_Free__new_delete_array_int64_t_01_omitgood.cpp_dir/api/CWE415_Double_Free__new_delete_array_int64_t_01_omitgood.final.ll,385,36
./data_415/SARD/data_source/CWE415_Double_Free__new_delete_array_int64_t_01_omitgood.cpp_dir/arr/CWE415_Double_Free__new_delete_array_int64_t_01_omitgood.final.ll,379,34
./data_415/SARD/data_source/CWE415_Double_Free__new_delete_array_int64_t_01_omitgood.cpp_dir/arr/CWE415_Double_Free__new_delete_array_int64_t_01_omitgood.final.ll,385,36
./data_415/SARD/data_source/CWE415_Double_Free__new_delete_struct_08_omitgood.cpp_dir/point/CWE415_Double_Free__new_delete_struct_08_omitgood.final.ll,479,49
./data_415/SARD/data_source/CWE415_Double_Free__new_delete_struct_08_omitgood.cpp_dir/point/CWE415_Double_Free__new_delete_struct_08_omitgood.final.ll,499,54
./data_415/SARD/data_source/CWE415_Double_Free__new_delete_struct_08_omitgood.cpp_dir/bds/CWE415_Double_Free__new_delete_struct_08_omitgood.final.ll,479,49
./data_415/SARD/data_source/CWE415_Double_Free__new_delete_struct_08_omitgood.cpp_dir/bds/CWE415_Double_Free__new_delete_struct_08_omitgood.final.ll,499,54
./data_415/SARD/data_source/CWE415_Double_Free__new_delete_struct_08_omitgood.cpp_dir/api/CWE415_Double_Free__new_delete_struct_08_omitgood.final.ll,479,49
./data_415/SARD/data_source/CWE415_Double_Free__new_delete_struct_08_omitgood.cpp_dir/api/CWE415_Double_Free__new_delete_struct_08_omitgood.final.ll,499,54
./data_415/SARD/data_source/CWE415_Double_Free__new_delete_struct_08_omitgood.cpp_dir/arr/CWE415_Double_Free__new_delete_struct_08_omitgood.final.ll,479,49
./data_415/SARD/data_source/CWE415_Double_Free__new_delete_struct_08_omitgood.cpp_dir/arr/CWE415_Double_Free__new_delete_struct_08_omitgood.final.ll,499,54
./data_415/SARD/data_source/CWE415_Double_Free__new_delete_int_67b_omitgood.cpp_dir/point/CWE415_Double_Free__new_delete_int_67b_omitgood.final.ll,388,36
./data_415/SARD/data_source/CWE415_Double_Free__new_delete_int_67b_omitgood.cpp_dir/bds/CWE415_Double_Free__new_delete_int_67b_omitgood.final.ll,388,36
./data_415/SARD/data_source/CWE415_Double_Free__new_delete_int_67b_omitgood.cpp_dir/api/CWE415_Double_Free__new_delete_int_67b_omitgood.final.ll,388,36
